留言主题,clean_review,cut_review,地区,关键词,留言详情中的实体,留言主题中的实体
请求公开A1区东成大厦申报建设成本资料,请求公开A1区东成大厦申报建设成本资料,请求 公开 A1区 东成 大厦 申报 建设 成本 资料,A1区,"['A1区', '东成', '大厦', '申报', '请求']","['西地省经济学院', '钱供', '北京']",['A1区东成大厦']
请对A1区华年世嘉酒店及其保安队长立案调查,请对A1区华年世嘉酒店及其保安队长立案调查,请 A1区 华年 世嘉 酒店 保安队 长 立案 调查,A1区,"['华年', 'A1区', '世嘉', '保安队', '立案']",['江苏'],['A1区']
投诉A1区公寓幼儿园招生不透明，存在暗箱操作,投诉A1区公寓幼儿园招生不透明存在暗箱操作,投诉 A1区 公寓 幼儿园 招生 透明 暗箱 操作,A1区,"['A1区', '暗箱', '招生', '幼儿园', '公寓']","['A3区', '溪湖', '溪湖', 'A3区', 'A3区', '溪湖', '溪湖', '溪湖', '黄兴路', 'A市商业', '溪湖A市城市副中心']",['A1区']
A1区沁园小区C5栋污水水管破裂将近一个月了,A1区沁园小区C5栋污水水管破裂将近一个月了,A1区 沁园 小区 C5 栋 污水 水管 破裂 一个月,A1区,"['A1区', '沁园', 'C5', '水管', '污水']","['朱琦梦', 'A市A6区', 'A市', 'A市']",['A1区沁园']
A1区扬帆小区夜市占据了消防通道！,A1区扬帆小区夜市占据了消防通道,A1区 扬帆 小区 夜市 占据 消防通道,A1区,"['A1区', '消防通道', '夜市', '扬帆', '小区']",['排气口'],['A1区']
反映A1区兴和社区厕所问题,反映A1区兴和社区厕所问题,A1区 兴 社区 厕所,A1区,"['A1区', '厕所', '社区']","['A1区', '马坡岭', '马坡岭', '马坡岭']",['A1区']
A1区兴和社区火星街道居民建言后信息被泄露，遭人打击,A1区兴和社区火星街道居民建言后信息被泄露遭人打击,A1区 兴 社区 火星 街道 居民 建言 信息 泄露 遭 打击,A1区,"['A1区', '建言', '火星', '泄露', '社区']","['枫林路', '郭意', '二路', '西地省新明园林建设集团有限公司', '楚江']",['A1区']
恳请A1区政府将“永利金猪”犯罪嫌疑人捉拿归案,恳请A1区政府将永利金猪犯罪嫌疑人捉拿归案,恳请 A1区 政府 永利 金猪 犯罪 嫌疑人 捉拿归案,A1区,"['A1区', '金猪', '捉拿归案', '永利', '恳请']",[],['A1区政府']
A1区新桥小区杂物做饭何时休,A1区新桥小区杂物做饭何时休,A1区 新桥 小区 杂物 做饭 何时休,A1区,"['何时休', 'A1区', '新桥', '杂物', '做饭']","['A5区洞井街道植物园', '熙园', 'A5区区委办公室', '山水熙园业主委员会', 'A5区城管', 'A5区规划分局', '洞井', 'A5区城管', '五楼', 'A5区规划分局', 'A5区规划分局', 'A5区城管', 'A5区城管', 'A市政府法制办', 'A市城管局', '熙园', '及原业委会', '洞井派出所', '山水熙园业主委员会']","['A1区新桥小区杂物', '何时休']"
A1区才子佳郡低层水压极低，甚至经常无水可用,A1区才子佳郡低层水压极低甚至经常无水可用,A1区 才子 佳 郡 低层 水压 极低 无水 可用,A1区,"['A1区', '水压', '低层', '极低', '无水']","['A1区', 'A1区', 'A1区']",[]
A1区美漾酒店无证违法施工，强行改造永华大厦7楼房屋结构,A1区美漾酒店无证违法施工强行改造永华大厦7楼房屋结构,A1区 美漾 酒店 无证 违法 施工 强行 改造 永华 大厦 楼 房屋结构,A1区,"['房屋结构', '永华', 'A1区', '美漾', '无证']","['星沙', '丽路', '长永', '三路', 'A7县政府', '楚府']",['A1区美漾酒店无证']
A1区A1区苑附近的报刊亭为何不准经营,A1区A1区苑附近的报刊亭为何不准经营,A1区 A1区 苑 报刊亭 不准 经营,A1区,"['A1区', '报刊亭', '不准', '经营']","['北辰', '小马', '小马']",['A1区A1区苑']
