留言主题,clean_review,cut_review,地区,主谓宾
请求公开A1区东成大厦申报建设成本资料,请求公开A1区东成大厦申报建设成本资料,请求 公开 A1 区东成 大厦 申报 建设 成本 资料,A1区,"大厦请求公开,（副词：）"
请对A1区华年世嘉酒店及其保安队长立案调查,请对A1区华年世嘉酒店及其保安队长立案调查,请 A1 区华年 世嘉 酒店 保安队 长 立案 调查,A1区,"酒店请立案,（副词：对）"
投诉A1区公寓幼儿园招生不透明，存在暗箱操作,投诉A1区公寓幼儿园招生不透明存在暗箱操作,投诉 A1 区 公寓 幼儿园 招生 透明 暗箱 操作,A1区,"投诉存在操作,（副词：不）"
A1区沁园小区C5栋污水水管破裂将近一个月了,A1区沁园小区C5栋污水水管破裂将近一个月了,A1 区沁园 小区 C5 栋 污水 水管 破裂 一个月,A1区,"水管破裂,（副词：）"
A1区扬帆小区夜市占据了消防通道！,A1区扬帆小区夜市占据了消防通道,A1 区 扬帆 小区 夜市 占据 消防通道,A1区,"夜市占据消防通道,（副词：）"
反映A1区兴和社区厕所问题,反映A1区兴和社区厕所问题,A1 区兴 社区 厕所,A1区,"A1区反映问题,（副词：）"
A1区兴和社区火星街道居民建言后信息被泄露，遭人打击,A1区兴和社区火星街道居民建言后信息被泄露遭人打击,A1 区兴 社区 火星 街道 居民 建言 信息 泄露 遭 打击,A1区,"A1区兴信息,（副词：被）"
恳请A1区政府将“永利金猪”犯罪嫌疑人捉拿归案,恳请A1区政府将永利金猪犯罪嫌疑人捉拿归案,恳请 A1 区政府 永利 金猪 犯罪 嫌疑人 捉拿归案,A1区,"嫌疑人恳请捉拿归案,（副词：将）"
A1区新桥小区杂物做饭何时休,A1区新桥小区杂物做饭何时休,A1 区 新桥 小区 杂物 做饭 何时休,A1区,"杂物做饭何时休,（副词：）"
A1区才子佳郡低层水压极低，甚至经常无水可用,A1区才子佳郡低层水压极低甚至经常无水可用,A1 区 才子 佳 郡 低层 水压 极低 无水 可用,A1区,"水压无水,（副词：极低）"
A1区美漾酒店无证违法施工，强行改造永华大厦7楼房屋结构,A1区美漾酒店无证违法施工强行改造永华大厦7楼房屋结构,A1 区美漾 酒店 无证 违法 施工 强行 改造 永华 大厦 楼 房屋结构,A1区,"无证违法房屋结构,（副词：强行）"
A1区A1区苑附近的报刊亭为何不准经营,A1区A1区苑附近的报刊亭为何不准经营,A1 区 A1 区苑 报刊亭 不准 经营,A1区,"报刊亭不准经营,（副词：为何）"
A1区蓉芙华天酒店二楼楚水源足浴非法经营涉黄项目,A1区蓉芙华天酒店二楼楚水源足浴非法经营涉黄项目,A1 区蓉 芙 华天 酒店 二楼 楚 水源 足浴 非法经营 涉黄 项目,A1区,"项目,（副词：）"
A1区鑫科明珠小区学生读不了育才二小,A1区鑫科明珠小区学生读不了育才二小,A1 区鑫科 明珠 小区 学生 读 育才 二小,A1区,"学生读二小,（副词：）"
A1区东方家园土地被贪，农民维权艰难,A1区东方家园土地被贪农民维权艰难,A1 区 东方 家园 土地 贪 农民 维权 艰难,A1区,"维权贪艰难,（副词：被）"
A1区佳兆业时代广场排水偷工减料,A1区佳兆业时代广场排水偷工减料,A1 区佳兆业 时代广场 排水 偷工减料,A1区,"时代广场排水,（副词：）"
反映A1区五一中路粮贸大厦高空坠物问题,反映A1区五一中路粮贸大厦高空坠物问题,A1 区 五一 中路 粮贸 大厦 高空 坠物,A1区,"反映问题,（副词：）"
A1区解放东路49号一楼住改商,A1区解放东路49号一楼住改商,A1 区 解放 东路 49 号 一楼 住 改商,A1区,"A1区解放一楼,（副词：）"
A1区东岸锦城A、B区交界处的多家铝合金门窗加工店发出刺耳的切割声,A1区东岸锦城AB区交界处的多家铝合金门窗加工店发出刺耳的切割声,A1 区 东岸 锦城 AB 区 交界处 多家 铝合金 门窗 加工 店 发出 刺耳 切割 声,A1区,"店发出声,（副词：）"
